Id;u_min;u_max;u_mean;sentiment;Cat;Label
p1734;2;2;2.0;0.0;pid;p1734
p1735;4;4;4.0;;pid;p1735
p1736;1;1;1.0;2.0;pid;p1736
p1737;8;8;8.0;1.0;pid;p1737
p1738;-3;-3;-3.0;;pid;p1738
p1739;3;3;3.0;;pid;p1739
p174;1;1;1.0;;pid;p174
p1740;1;1;1.0;;pid;p1740
p1741;3;3;3.0;1.0;pid;p1741
p1742;4;22;13.0;0.0;pid;p1742
p1743;3;28;15.5;0.0;pid;p1743
p1744;10;10;10.0;2.0;pid;p1744
p1745;4;13;8.5;2.0;pid;p1745
p1746;7;13;10.0;2.0;pid;p1746
p1747;3;3;3.0;;pid;p1747
p1748;13;13;13.0;1.0;pid;p1748
p1749;4;4;4.0;2.0;pid;p1749
p175;8;8;8.0;0.0;pid;p175
p1750;5;5;5.0;0.0;pid;p1750
p1751;1;4;2.33;;pid;p1751
p1752;1;1;1.0;1.0;pid;p1752
p1753;2;2;2.0;;pid;p1753
p1754;6;6;6.0;;pid;p1754
p1755;2;2;2.0;0.0;pid;p1755
p1756;2;2;2.0;;pid;p1756
p1757;2;3;2.5;;pid;p1757
p1758;2;2;2.0;;pid;p1758
p1759;1;3;2.0;1.0;pid;p1759
p176;2;2;2.0;;pid;p176
p1760;3;3;3.0;1.0;pid;p1760
p1761;1;1;1.0;;pid;p1761
p1762;3;3;3.0;;pid;p1762
p1763;1;1;1.0;;pid;p1763
p1764;1;1;1.0;;pid;p1764
p1765;2;2;2.0;0.0;pid;p1765
p1766;32;32;32.0;1.0;pid;p1766
p1767;10;16;13.67;0.0;pid;p1767
p1768;1;1;1.0;0.0;pid;p1768
p1769;2;2;2.0;1.0;pid;p1769
p177;1;1;1.0;1.0;pid;p177
p1770;20;20;20.0;1.0;pid;p1770
p1771;2;2;2.0;1.0;pid;p1771
p1772;3;3;3.0;0.0;pid;p1772
p1773;1;1;1.0;0.0;pid;p1773
p1774;-6;2;-2.0;0.0;pid;p1774
p1775;5;5;5.0;0.0;pid;p1775
p1776;2;10;6.0;1.0;pid;p1776
p1777;4;4;4.0;1.0;pid;p1777
p1778;-7;-7;-7.0;1.0;pid;p1778
p1779;5;5;5.0;;pid;p1779
p178;2;2;2.0;;pid;p178
p1780;-5;1;-2.0;0.0;pid;p1780
p1781;0;3;1.5;;pid;p1781
p1782;5;5;5.0;;pid;p1782
p1783;1;1;1.0;;pid;p1783
p1784;-3;-3;-3.0;;pid;p1784
p1785;3;3;3.0;;pid;p1785
p1786;1;1;1.0;1.0;pid;p1786
p1787;-1;-1;-1.0;0.0;pid;p1787
p1788;1;1;1.0;0.0;pid;p1788
p1789;1;1;1.0;;pid;p1789
p179;2;2;2.0;2.0;pid;p179
p1790;7;7;7.0;2.0;pid;p1790
p1791;6;6;6.0;0.0;pid;p1791
p1792;3;3;3.0;0.0;pid;p1792
p1793;1;3;2.0;0.0;pid;p1793
p1794;-5;24;9.4;0.0;pid;p1794
p1795;3;3;3.0;0.0;pid;p1795
p1796;5;5;5.0;;pid;p1796
p1797;1;1;1.0;0.0;pid;p1797
p1798;1;1;1.0;1.0;pid;p1798
p1799;-27;-27;-27.0;0.0;pid;p1799
p18;0;0;0.0;;pid;p18
p180;2;2;2.0;;pid;p180
p1800;67;67;67.0;0.0;pid;p1800
p1801;15;15;15.0;0.0;pid;p1801
p1802;2;2;2.0;2.0;pid;p1802
p1803;59;59;59.0;;pid;p1803
p1804;8;35;21.5;;pid;p1804
p1805;10;10;10.0;;pid;p1805
p1806;2;2;2.0;0.0;pid;p1806
p1807;28;28;28.0;;pid;p1807
p1808;3;3;3.0;;pid;p1808
p1809;1;1;1.0;1.0;pid;p1809
p181;-1;-1;-1.0;1.0;pid;p181
p1810;1;1;1.0;0.0;pid;p1810
p1811;1;1;1.0;1.0;pid;p1811
p1812;14;87;50.5;1.0;pid;p1812
p1813;-46;-46;-46.0;1.0;pid;p1813
p1814;8;8;8.0;1.0;pid;p1814
p1815;14;14;14.0;0.0;pid;p1815
p1816;4;50;19.0;0.0;pid;p1816
p1817;36;36;36.0;0.0;pid;p1817
p1818;-43;18;-8.0;0.0;pid;p1818
p1819;0;45;22.5;0.0;pid;p1819
p182;1;1;1.0;0.0;pid;p182
p1820;14;14;14.0;0.0;pid;p1820
p1821;-5;-5;-5.0;0.0;pid;p1821
p1822;-26;14;-6.0;0.0;pid;p1822
p1823;12;12;12.0;2.0;pid;p1823
p1824;7;7;7.0;1.0;pid;p1824
p1825;8;8;8.0;;pid;p1825
p1826;4;6;5.0;;pid;p1826
p1827;-11;2;-4.5;;pid;p1827
p1828;74;74;74.0;;pid;p1828
p1829;2;3;2.5;;pid;p1829
p183;8;8;8.0;;pid;p183
p1830;2;2;2.0;1.0;pid;p1830
p1831;6;11;8.5;;pid;p1831
p1832;5;5;5.0;1.0;pid;p1832
p1833;-1;0;-0.5;;pid;p1833
p1834;4;4;4.0;2.0;pid;p1834
p1835;2;2;2.0;;pid;p1835
p1836;2;2;2.0;;pid;p1836
p1837;10;10;10.0;;pid;p1837
p1838;6;24;15.0;;pid;p1838
p1839;36;36;36.0;;pid;p1839
p184;1;1;1.0;;pid;p184
p1840;46;46;46.0;;pid;p1840
p1841;8;44;26.0;;pid;p1841
p1842;13;13;13.0;;pid;p1842
p1843;25;25;25.0;;pid;p1843
p1844;8;8;8.0;;pid;p1844
p1845;1;1;1.0;;pid;p1845
p1846;2;2;2.0;;pid;p1846
p1847;5;5;5.0;2.0;pid;p1847
p1848;0;0;0.0;0.0;pid;p1848
p1849;2;8;4.33;;pid;p1849
p185;1;1;1.0;;pid;p185
p1850;1;1;1.0;1.0;pid;p1850
p1851;3;11;7.0;;pid;p1851
p1852;1;1;1.0;;pid;p1852
p1853;6;6;6.0;;pid;p1853
p1854;1;2;1.25;1.0;pid;p1854
p1855;1;7;2.71;0.0;pid;p1855
p1856;-7;4;-0.33;1.0;pid;p1856
p1857;-11;-6;-9.0;0.0;pid;p1857
p1858;1;1;1.0;;pid;p1858
p1859;-32;23;-1.5;0.0;pid;p1859
p186;18;18;18.0;;pid;p186
p1860;1;1;1.0;0.0;pid;p1860
p1861;1;1;1.0;0.0;pid;p1861
p1862;7;8;7.67;;pid;p1862
p1863;1;2;1.5;;pid;p1863
p1864;4;13;8.5;1.0;pid;p1864
p1865;2;2;2.0;;pid;p1865
p1866;0;2;1.25;;pid;p1866
p1867;5;14;9.5;;pid;p1867
p1868;2;2;2.0;;pid;p1868
p1869;3;3;3.0;;pid;p1869
p187;-2;2;0.0;;pid;p187
p1870;2;2;2.0;;pid;p1870
p1871;2;2;2.0;;pid;p1871
p1872;1;1;1.0;;pid;p1872
p1873;-5;12;3.67;;pid;p1873
p1874;-1;57;15.2;0.0;pid;p1874
p1875;1;6;2.67;1.0;pid;p1875
p1876;1;2;1.33;;pid;p1876
p1877;1;1;1.0;;pid;p1877
p1878;1;63;13.66;;pid;p1878
p1879;2;9;6.67;;pid;p1879
p188;2;2;2.0;;pid;p188
p1880;-7;16;4.5;0.0;pid;p1880
p1881;2;2;2.0;1.0;pid;p1881
p1882;-1;-1;-1.0;1.0;pid;p1882
p1883;3;3;3.0;2.0;pid;p1883
p1884;0;0;0.0;0.0;pid;p1884
p1885;6;6;6.0;0.0;pid;p1885
p1886;3;3;3.0;0.0;pid;p1886
p1887;1;1;1.0;0.0;pid;p1887
p1888;2;3;2.33;1.0;pid;p1888
p1889;-5;4;0.17;0.0;pid;p1889
p189;1;1;1.0;1.0;pid;p189
p1890;12;12;12.0;1.0;pid;p1890
p1891;2;2;2.0;2.0;pid;p1891
p1892;1;1;1.0;1.0;pid;p1892
p1893;0;0;0.0;1.0;pid;p1893
p1894;1;6;3.5;0.0;pid;p1894
p1895;1;2;1.5;2.0;pid;p1895
p1896;9;9;9.0;2.0;pid;p1896
p1897;1;1;1.0;0.0;pid;p1897
p1898;1;1;1.0;0.0;pid;p1898
p1899;1;1;1.0;0.0;pid;p1899
p19;5;5;5.0;1.0;pid;p19
p190;84;84;84.0;2.0;pid;p190
p1900;1;1;1.0;1.0;pid;p1900
p1901;1;1;1.0;1.0;pid;p1901
p1902;1;1;1.0;1.0;pid;p1902
p1903;1;1;1.0;0.0;pid;p1903
p1904;5;5;5.0;1.0;pid;p1904
p1905;1;1;1.0;0.0;pid;p1905
p1906;1;8;3.0;1.0;pid;p1906
p1907;0;2;1.0;1.0;pid;p1907
p1908;3;29;9.75;2.0;pid;p1908
p1909;-9;1;-3.0;0.0;pid;p1909
p191;12;36;24.0;1.0;pid;p191
p1910;4;7;5.5;1.0;pid;p1910
